OBJECTID,CSA2010,novhcl11,novhcl12,novhcl13,novhcl14,novhcl15,novhcl16,novhcl17,novhcl18,novhcl19,Shape__Area,Shape__Length
42,Orangeville/East Highlandtown,27.998674618953,25.7772020725389,25.9433962264151,26.0908,25.0146972369195,22.6775956284153,20.2996474735605,18.8852653424251,18.54243542,89894372.2113037,47825.8629266244
43,Patterson Park North & East,34.3935973732813,32.5827022718214,29.281122150789,26.048,24.6341463414634,20.457957957958,19.7540208136234,19.1913329464113,19.70260223,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,48.130081300813,48.6644798500469,46.5142857142857,43.3348,43.6805555555556,43.2388475836431,40.2413553028544,40.9035999033583,42.87116564,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,34.8792270531401,38.1242387332521,40.2741043520077,44.0248,43.2035268185158,40.0789733464956,41.6334661354581,37.6476630713918,35.74929069,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,59.3780369290573,61.5205223880597,61.7972350230415,58.9484,53.1350114416476,55.3777777777778,53.0846484935437,49.0421455938697,49.23291492,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,59.7322922476297,58.8929889298893,58.188283735729,56.3331,56.9986410405746,56.0851728853292,56.6523605150214,57.2438162544169,60.42543762,23672092.8682861,20987.1433066354
48,South Baltimore,7.78985507246377,8.43332190606788,9.9090318388564,10.1399,8.37468982630273,7.70401948842875,6.06246172688303,4.27914991384261,4.335343095,46353935.4255981,68440.0258266401
49,Southeastern,34.9526554137505,34.9724459516744,34.4927536231884,33.473,29.3297345928925,27.3512039981826,28.3408071748878,32.8828828828828,31.95691203,111251478.472229,102291.480547698
50,Southern Park Heights,43.6923721709975,41.6874480465503,43.0682764363031,45.0823,43.4398654331371,45.065098698026,49.9376299376299,54.6411688869789,51.08837614,27876227.5908203,24052.221372193
51,Southwest Baltimore,48.4934717107466,52.2431014051126,54.1796200345423,52.8232,54.2998352553542,55.575687695602,55.1783560227468,53.6564332528458,54.94071146,37766068.8365479,28355.563581391
52,The Waverlies,38.265306122449,40.6995230524642,39.498730964467,39.5975,39.0173410404624,39.1771568928462,38.0879657910812,37.8764358894753,37.28971963,20383750.5437012,18733.826879757
53,Upton/Druid Heights,63.5738016136687,65.6355727404543,68.4386174016687,67.5054,66.3611592766906,62.6184538653367,59.2265457149677,55.9656875487392,57.13911449,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,22.2935779816514,26.8054940186088,28.6083584661784,28.8253,30.1623083859333,33.5814360770578,30.7484220018034,29.5267042987407,26.76178124,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,16.5672913117547,19.633730834753,23.5599826764833,28.8543,29.1315345699831,27.223382045929,27.5085034013605,29.5553618134263,29.68818621,45494092.9501953,42573.1244161851
